student_id,date_registered,first_date_watched,first_date_purchased,reg_to_watch_days,watch_to_purchase days
255193,01-12-2021,01-12-2021,NULL,0,NULL
255194,01-12-2021,01-12-2021,NULL,0,NULL
255198,01-12-2021,17-02-2022,NULL,78,NULL
255199,01-12-2021,01-12-2021,NULL,0,NULL
255200,01-12-2021,01-12-2021,NULL,0,NULL
255202,01-12-2021,01-12-2021,NULL,0,NULL
255203,01-12-2021,01-12-2021,01-12-2021,0,0
255204,01-12-2021,01-12-2021,01-12-2021,0,0
255205,01-12-2021,01-12-2021,NULL,0,NULL
255206,01-12-2021,01-12-2021,02-12-2021,0,1
255207,01-12-2021,01-12-2021,01-12-2021,0,0
255209,01-12-2021,01-12-2021,NULL,0,NULL
255211,01-12-2021,02-12-2021,NULL,1,NULL
255215,01-12-2021,30-12-2021,NULL,29,NULL
255218,01-12-2021,01-12-2021,01-12-2021,0,0
255222,01-12-2021,01-12-2021,NULL,0,NULL
255227,01-12-2021,01-02-2022,NULL,62,NULL
255235,01-12-2021,01-12-2021,NULL,0,NULL
255238,01-12-2021,01-12-2021,NULL,0,NULL
255239,01-12-2021,01-12-2021,NULL,0,NULL
255241,01-12-2021,26-01-2022,21-03-2022,56,54
255243,01-12-2021,01-12-2021,01-12-2021,0,0
255245,01-12-2021,01-12-2021,NULL,0,NULL
255246,01-12-2021,01-12-2021,NULL,0,NULL
255253,01-12-2021,01-12-2021,NULL,0,NULL
255254,01-12-2021,03-12-2021,NULL,2,NULL
255260,01-12-2021,01-12-2021,NULL,0,NULL
255261,01-12-2021,07-12-2021,NULL,6,NULL
255262,01-12-2021,24-12-2021,24-12-2021,23,0
255268,01-12-2021,01-12-2021,28-12-2021,0,27
255269,01-12-2021,01-12-2021,01-12-2021,0,0
255271,01-12-2021,01-12-2021,01-12-2021,0,0
255272,01-12-2021,01-12-2021,01-12-2021,0,0
255279,01-12-2021,01-12-2021,01-12-2021,0,0
255280,01-12-2021,04-12-2021,04-12-2021,3,0
255283,01-12-2021,05-12-2021,NULL,4,NULL
255285,01-12-2021,07-12-2021,NULL,6,NULL
255286,01-12-2021,02-12-2021,NULL,1,NULL
255287,01-12-2021,01-12-2021,NULL,0,NULL
255294,01-12-2021,01-12-2021,NULL,0,NULL
255297,01-12-2021,01-12-2021,NULL,0,NULL
255301,01-12-2021,27-08-2022,NULL,269,NULL
255302,01-12-2021,01-12-2021,NULL,0,NULL
255306,01-12-2021,01-12-2021,02-12-2021,0,1
